year,prov,hh_inc,pop,urban,unemp
1926,Prince Edward Island,236.8,87,22.4,NA
1926,Nova Scotia,312.6,515,44.3,NA
1926,New Brunswick,284.2,396,31.8,NA
1926,Quebec,342,2603,59.6,NA
1926,Ontario,488.5,3164,59.6,NA
1926,Manitoba,442.9,639,44,NA
1926,Saskatchewan,411.2,821,30.2,NA
1926,Alberta,492.3,608,38,NA
1926,British Columbia,524.2,606,52,NA
1926,"Yukon, Northwest territories, Nunavut",NA,12,NA,NA
1926,Yukon,NA,4,NA,NA
1926,Northwest territories including Nunavut,NA,8,NA,NA
1926,All provinces,102.7,1068.6,12.8,NA
1926,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",109.6,1212.8,13.6,NA
1927,Prince Edward Island,248,87,22.5,NA
1927,Nova Scotia,320.9,515,44.4,NA
1927,New Brunswick,282.7,398,31.8,NA
1927,Quebec,354.7,2657,60.3,NA
1927,Ontario,509.1,3219,59.9,NA
1927,Manitoba,399.5,651,44.2,NA
1927,Saskatchewan,421.4,841,30.5,NA
1927,Alberta,563.4,633,38,NA
1927,British Columbia,538,623,53,NA
1927,"Yukon, Northwest territories, Nunavut",NA,13,NA,NA
1927,Yukon,NA,4,NA,NA
1927,Northwest territories including Nunavut,NA,9,NA,NA
1927,All provinces,113.5,1088.7,12.9,NA
1927,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",110.3,1236.6,13.8,NA
1928,Prince Edward Island,245.3,88,22.7,NA
1928,Nova Scotia,348.1,515,44.6,NA
1928,New Brunswick,301.1,401,31.7,NA
1928,Quebec,378.5,2715,61,NA
1928,Ontario,537.5,3278,60.2,NA
1928,Manitoba,463.6,664,44.5,NA
1928,Saskatchewan,440.8,862,30.8,NA
1928,Alberta,504,658,38,NA
1928,British Columbia,573.7,641,54,NA
1928,"Yukon, Northwest territories, Nunavut",NA,13,NA,NA
1928,Yukon,NA,4,NA,NA
1928,Northwest territories including Nunavut,NA,9,NA,NA
1928,All provinces,110.9,1110.1,13.1,NA
1928,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",122.2,1262,14,NA
1929,Prince Edward Island,267.4,88,22.8,NA
1929,Nova Scotia,358.2,515,44.8,NA
1929,New Brunswick,306.2,404,31.7,NA
1929,Quebec,398.6,2772,61.7,NA
1929,Ontario,565.6,3334,60.5,NA
1929,Manitoba,431.8,677,44.7,NA
1929,Saskatchewan,290.5,883,31,NA
1929,Alberta,432.9,684,38,NA
1929,British Columbia,599.1,659,54.9,NA
1929,"Yukon, Northwest territories, Nunavut",NA,13,NA,NA
1929,Yukon,NA,4,NA,NA
1929,Northwest territories including Nunavut,NA,9,NA,NA
1929,All provinces,116.7,1130.8,13.3,NA
1929,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",125.1,1286.5,14.2,NA
1930,Prince Edward Island,222.8,88,23,NA
1930,Nova Scotia,340.1,514,45,NA
1930,New Brunswick,287,406,31.6,NA
1930,Quebec,370,2825,62.4,NA
1930,Ontario,529.2,3386,60.8,NA
1930,Manitoba,403.5,689,44.9,NA
1930,Saskatchewan,247.6,903,31.3,NA
1930,Alberta,389.7,708,38,NA
1930,British Columbia,546.3,676,55.9,NA
1930,"Yukon, Northwest territories, Nunavut",NA,13,NA,NA
1930,Yukon,NA,4,NA,NA
1930,Northwest territories including Nunavut,NA,9,NA,NA
1930,All provinces,113.1,1150.1,13.5,NA
1930,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",119.2,1309.4,14.4,NA
1931,Prince Edward Island,178.2,88,23.2,NA
1931,Nova Scotia,288.4,513,45.2,NA
1931,New Brunswick,243,408,31.6,NA
1931,Quebec,315.5,2874,63.1,NA
1931,Ontario,450.1,3432,61.1,NA
1931,Manitoba,305.9,700,45.1,NA
1931,Saskatchewan,149.7,922,31.6,NA
1931,Alberta,277.8,732,38.1,NA
1931,British Columbia,458.5,694,56.9,NA
1931,"Yukon, Northwest territories, Nunavut",NA,13,NA,NA
1931,Yukon,NA,4,NA,NA
1931,Northwest territories including Nunavut,NA,9,NA,NA
1931,All provinces,105.5,1167.3,13.7,NA
1931,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",102.8,1329.9,14.6,NA
1932,Prince Edward Island,143.2,89,23.4,NA
1932,Nova Scotia,233.5,519,45.3,NA
1932,New Brunswick,190.2,414,31.6,NA
1932,Quebec,256.2,2925,63.1,NA
1932,Ontario,364,3473,61.1,NA
1932,Manitoba,266.1,705,45,NA
1932,Saskatchewan,151.5,924,31.7,NA
1932,Alberta,235.5,740,38.1,NA
1932,British Columbia,378.3,707,56.6,NA
1932,"Yukon, Northwest territories, Nunavut",NA,14,NA,NA
1932,Yukon,NA,4,NA,NA
1932,Northwest territories including Nunavut,NA,10,NA,NA
1932,All provinces,82.8,1184.5,13.6,NA
1932,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",85.7,1349,14.5,NA
1933,Prince Edward Island,130.7,90,23.6,NA
1933,Nova Scotia,224.6,525,45.4,NA
1933,New Brunswick,178.1,419,31.5,NA
1933,Quebec,234.9,2972,63.1,NA
1933,Ontario,339.7,3512,61.2,NA
1933,Manitoba,239.3,708,44.9,NA
1933,Saskatchewan,119.7,926,31.8,NA
1933,Alberta,198.6,750,38.2,NA
1933,British Columbia,352.4,717,56.3,NA
1933,"Yukon, Northwest territories, Nunavut",NA,14,NA,NA
1933,Yukon,NA,4,NA,NA
1933,Northwest territories including Nunavut,NA,10,NA,NA
1933,All provinces,81.1,1200.6,13.5,NA
1933,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",80.2,1367.3,14.4,NA
1934,Prince Edward Island,140,91,23.9,NA
1934,Nova Scotia,240.3,531,45.5,NA
1934,New Brunswick,190.9,423,31.5,NA
1934,Quebec,256.2,3016,63.2,NA
1934,Ontario,372.8,3544,61.3,NA
1934,Manitoba,265.8,709,44.8,NA
1934,Saskatchewan,149.8,928,32,NA
1934,Alberta,247,758,38.2,NA
1934,British Columbia,378.5,727,56.1,NA
1934,"Yukon, Northwest territories, Nunavut",NA,14,NA,NA
1934,Yukon,NA,4,NA,NA
1934,Northwest territories including Nunavut,NA,10,NA,NA
1934,All provinces,84.9,1214.9,13.4,NA
1934,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",87.8,1383.2,14.3,NA
1935,Prince Edward Island,170.5,92,24.1,NA
1935,Nova Scotia,260.1,536,45.6,NA
1935,New Brunswick,205.4,428,31.5,NA
1935,Quebec,266.9,3057,63.2,NA
1935,Ontario,394.7,3575,61.3,NA
1935,Manitoba,268.2,710,44.7,NA
1935,Saskatchewan,184.8,930,32.1,NA
1935,Alberta,250.1,765,38.2,NA
1935,British Columbia,407.2,736,55.8,NA
1935,"Yukon, Northwest territories, Nunavut",NA,16,NA,NA
1935,Yukon,NA,5,NA,NA
1935,Northwest territories including Nunavut,NA,11,NA,NA
1935,All provinces,83.8,1228.4,13.3,NA
