salary,age,college,grad,comten,ceoten,sales,profits,mktval,lsalary,lsales,lmktval,comtensq,ceotensq,profmarg
1161,49,1,1,9,2,6200,966,23200,7.0570369,8.7323046,10.051908,81,4,15.580646
600,43,1,1,10,10,283,48,1100,6.3969297,5.6454468,7.0030656,100,100,16.96113
379,51,1,1,9,3,169,40,1100,5.9375362,5.1298985,7.0030656,81,9,23.668638
651,55,1,0,22,22,1100,-54,1000,6.4785094,7.0030656,6.9077554,484,484,-4.909091
497,44,1,1,8,6,351,28,387,6.20859,5.8607864,5.9584246,64,36,7.9772081
1067,64,1,1,7,7,19000,614,3900,6.9726062,9.8521938,8.2687321,49,49,3.2315791
945,59,1,0,35,10,536,24,623,6.8511848,6.2841344,6.4345465,1225,100,4.477612
1261,63,1,1,32,8,4800,191,2100,7.1396604,8.4763708,7.6496925,1024,64,3.9791667
503,47,1,1,4,4,610,7,454,6.2205901,6.4134588,6.1180973,16,16,1.1475409
1094,64,1,1,39,5,2900,230,3900,6.9975958,7.972466,8.2687321,1521,25,7.9310346
601,54,1,1,26,7,1200,34,533,6.3985949,7.0900769,6.2785215,676,49,2.8333333
355,66,1,0,39,8,560,8,477,5.872118,6.3279366,6.1675167,1521,64,1.4285715
1200,72,1,0,37,37,796,35,678,7.0900769,6.6795993,6.5191474,1369,1369,4.3969851
697,51,1,0,25,1,8200,234,5700,6.5467854,9.0118895,8.648221,625,1,2.8536584
1041,63,1,1,21,11,4300,91,1400,6.947937,8.3663702,7.2442274,441,121,2.1162791
245,44,1,1,7,7,135,24,558,5.5012584,4.9052749,6.3243589,49,49,17.777779
817,68,1,0,38,4,1300,55,847,6.7056389,7.1701198,6.7417006,1444,16,4.2307692
1675,71,0,0,31,12,674,115,1200,7.4235682,6.5132303,7.0900769,961,144,17.062315
971,72,1,1,33,24,1400,69,609,6.8783264,7.2442274,6.4118185,1089,576,4.9285712
609,58,1,0,36,1,1100,69,880,6.4118185,7.0030656,6.779922,1296,1,6.2727275
470,60,1,1,20,6,2300,210,2200,6.1527328,7.7406645,7.6962128,400,36,9.130435
867,59,1,0,36,14,884,81,1500,6.765039,6.7844572,7.3132205,1296,196,9.1628962
752,54,1,0,32,4,1600,193,3200,6.6227365,7.377759,8.0709057,1024,16,12.0625
246,51,1,0,8,8,78,13,458,5.5053315,4.356709,6.1268692,64,64,16.666666
825,56,1,1,4,4,10700,295,5900,6.7153835,9.2779989,8.6827078,16,16,2.7570093
358,50,1,1,23,4,99,25,2300,5.8805332,4.59512,7.7406645,529,16,25.252525
1162,58,1,0,24,6,3800,226,1800,7.057898,8.2427559,7.495542,576,36,5.9473686
270,43,1,0,15,2,150,28,713,5.5984221,5.0106354,6.5694814,225,4,18.666666
829,56,1,0,14,8,2200,184,1500,6.7202201,7.6962128,7.3132205,196,64,8.363636
300,77,0,0,45,26,6900,483,4700,5.7037826,8.8392763,8.4553175,2025,676,7
1627,62,1,1,13,4,8300,596,9100,7.3944931,9.0240107,9.1160297,169,16,7.1807227
1237,63,1,1,37,9,4600,108,6200,7.1204443,8.4338112,8.7323046,1369,81,2.347826
540,61,1,1,37,1,5200,549,5600,6.2915692,8.5564137,8.6305218,1369,1,10.557693
1798,66,1,1,21,14,24300,338,12500,7.4944301,10.098231,9.4334841,441,196,1.3909465
474,40,1,0,18,1,2700,117,2000,6.1612072,7.9010072,7.6009026,324,1,4.3333335
